address_id,city,state,postal_code,country,created_at,updated_at
1,Al Jadīd,,,Libya,2015-01-18 17:14:54,3/7/2009
2,Guanghou,,,China,2004-12-15 01:10:29,7/21/2011
3,Air Bangis,,,Indonesia,2014-12-12 15:28:08,10/22/2009
4,Anaco,,,Venezuela,2019-05-28 02:29:23,10/21/2000
5,Yitang,,,China,2020-08-02 12:03:51,10/4/2014
6,Vitarte,,,Peru,2023-06-02 19:14:59,5/31/2024
7,Aurillac,Auvergne,15015 CEDEX,France,2009-07-09 13:15:28,12/11/2008
8,Angol,,,Chile,2012-07-01 22:59:48,1/15/2005
9,Songgai,,,China,2006-04-27 07:24:44,2/12/2023
10,La Tola,,527548,Colombia,2016-06-04 01:17:30,12/5/2015
11,Kim Sơn,,,Vietnam,2023-10-21 04:06:03,6/29/2020
12,Butel,,1040,Macedonia,2004-07-16 16:42:01,8/5/2023
13,Wuluhan,,,Indonesia,2022-06-29 05:08:35,11/22/2010
14,Izumi,,993-0031,Japan,2006-02-04 19:19:15,11/12/2004
15,Sudogda,,601352,Russia,2010-04-04 02:01:20,4/24/2008
16,Bacelo,Porto,4615-544,Portugal,2001-10-30 10:58:34,4/12/2011
17,Changliu,,,China,2016-06-14 20:41:39,7/19/2023
18,Taizhou,,,China,2009-08-17 23:44:40,1/16/2001
19,Dassun,,3503,Philippines,2006-02-20 04:56:21,7/18/2003
20,Hopetown,,8760,South Africa,2023-12-25 15:12:37,3/19/2001
21,Skënderbegas,,,Albania,2017-09-11 00:20:56,9/5/2022
22,Haebaru,,904-2311,Japan,2012-09-08 00:04:06,12/26/2004
23,San Pablo,,,Peru,2004-01-27 20:54:44,1/8/2018
24,Washington,District of Columbia,20337,United States,2003-11-18 04:15:21,11/12/2009
25,Lao Suea Kok,,41220,Thailand,2015-10-24 17:48:20,2/14/2003
26,‘Akko,,,Israel,2012-12-16 10:56:13,1/24/2010
27,Cruzeiro,Aveiro,3700-364,Portugal,2000-07-18 00:49:44,4/14/2022
28,Sangali,,1154,Philippines,2012-03-29 20:53:43,11/20/2005
29,Pandi,,,China,2008-08-29 11:13:15,3/19/2017
30,Lam Sonthi,,71160,Thailand,2018-02-12 14:55:00,6/15/2015
31,Napanee Downtown,Ontario,M5E,Canada,2013-02-20 13:40:57,8/21/2022
32,Hualfín,,4751,Argentina,2024-03-17 03:44:19,1/16/2004
33,Auki,,,Solomon Islands,2009-09-25 03:37:27,10/11/2005
34,Châteauroux,Centre,36009 CEDEX,France,2006-08-10 00:34:11,5/3/2017
35,Koga,,869-0233,Japan,2020-03-06 03:47:55,3/29/2009
36,Kičevo,,6262,Macedonia,2011-01-17 19:15:55,11/28/2023
37,Kaca,,,Indonesia,2021-01-13 20:06:48,7/16/2008
38,Puerto San José,,05009,Guatemala,2001-02-16 00:39:26,6/1/2020
39,Buka,,,Indonesia,2012-11-08 03:19:00,4/26/2009
40,Ambositra,,,Madagascar,2003-08-06 04:49:57,6/8/2018
41,Saint-Raymond,Québec,G3L,Canada,2010-11-29 02:33:03,3/28/2012
