product_id,product_name,description,price,category,supplier_id,created_at,updated_at
1,Coffee Decaf Colombian,Other specified injury of left vertebral artery,"€862,70",Food & Drink,1,2024-01-17,2023-01-10
2,Loquat,"Unsp fracture of sternum, subs for fx w routn heal","€159,46",aaaa,2,2023-05-15,2023-09-16
3,Skewers - Bamboo,"Nondisp spiral fx shaft of rad, r arm, 7thH",,Food & Drink,3,2023-05-11,2024-04-07
4,Sobe - Cranberry Grapefruit,"Dislocation of carpometacarpal joint of right thumb, init","€347,16",Food & Drink,4,2023-11-29,2024-06-23
5,Sugar - White Packet,"Unsp inj blood vessels at ank/ft level, left leg, sequela","€260,92",aaaa,5,2023-01-07,2023-08-31
6,"Beets - Candy Cane, Organic",Lateral subluxation and dislocation of proximal end of tibia,"€468,19",Food & Drink,6,2023-01-24,2023-11-22
7,Longos - Chicken Curried,"Struck by other hit or thrown ball, initial encounter","€620,06",Beauty & Fitness,7,2023-04-20,2024-01-24
8,Pear - Prickly,"Episcleritis periodica fugax, right eye","€344,65",vvvv,8,2023-05-21,2023-05-13
9,Pepper - Orange,Cicatricial entropion of eyelid,"€561,81",Arts & Entertainment,9,2023-12-14,2023-05-10
10,Sauce - Cranberry,Scarring of conjunctiva,"€708,41",aaaa,10,2023-08-15,2023-09-07
11,"Brownies - Two Bite, Chocolate","Pnctr w/o fb of abd wall, epigst rgn w penet perit cav, subs","€150,80",Gifts & Special Events,11,2024-02-10,2024-04-07
12,Cheese - Marble,"Other fracture of left foot, 7thB","€162,67",Arts & Entertainment,12,2023-10-07,2024-05-25
13,Wine - Two Oceans Sauvignon,Rheu heart disease w rheumatoid arthritis of right hand,,aaaa,13,2023-02-26,2023-08-29
14,Bacardi Breezer - Strawberry,"Contusion of fallopian tube, unilateral, subs encntr","€820,61",Gifts & Special Events,14,2023-09-01,2024-02-16
15,Sugar - White Packet,"Ped on foot injured in collision w pedl cyc in traf, init","€533,43",Attractions,15,2023-04-02,2023-07-30
16,Swordfish Loin Portions,Unsp pedal cyclist injured in collision w ped/anml in traf,"€716,32",vvvv,16,2023-12-09,2023-06-10
17,Coffee - Hazelnut Cream,"War operations involving explosion of depth-chg, milt, init","€976,04",Beauty & Fitness,17,2024-05-07,2024-05-23
18,Mushroom - Morel Frozen,Fall from non-in-line roller-skates,"€948,58",aaaa,18,2024-02-14,2023-08-01
19,Chevril,Indeterminate colitis,,aaaa,19,2023-08-19,2023-03-30
20,"Shrimp, Dried, Small / Lb","Decreased fetal movements, third trimester, fetus 2","€628,91",aaaa,20,2024-07-01,2023-09-14
21,Water - Spring Water 500ml,Avulsion of scalp,"€629,31",Food & Drink,21,2023-04-15,2024-01-07
22,Sproutsmustard Cress,"Chorioamnionitis, second trimester, fetus 4","€135,52",Arts & Entertainment,22,2023-02-25,2024-03-13
23,Haggis,"Disp fx of anterior process of left calcaneus, init","€395,62",aaaa,23,2024-02-05,2023-01-31
24,Wine - Remy Pannier Rose,"Unsp superfic inj right eyelid and perioculr area, subs","€689,31",Arts & Entertainment,24,2024-01-27,2023-08-15
25,Jello - Assorted,Inj radial artery at wrist and hand level of left arm,"€479,57",Food & Drink,25,2023-06-22,2023-07-09
26,Kumquat,"Other specified injuries of unspecified foot, init encntr",,Arts & Entertainment,26,2024-01-14,2023-08-18
27,"Oil - Truffle, White","Corrosion of third degree of left elbow, subs encntr","€934,11",Gifts & Special Events,27,2023-02-12,2023-10-12
28,Bar Special K,"Disp fx of shaft of 2nd MC bone, l hand, 7thG","€90,04",Beauty & Fitness,28,2023-10-15,2024-02-05
29,Bagelers,High risk homosexual behavior,"€183,35",aaaa,29,2024-02-12,2023-10-28
30,Pastry - Chocolate Marble Tea,"Other superficial bite of right thumb, initial encounter",,Food & Drink,30,2024-05-20,2023-04-19
31,Peas Snow,Dir infct of left ank/ft in infec/parastc dis classd elswhr,"€948,81",Food & Drink,31,2024-05-12,2023-07-02
32,Cream - 35%,"Postprocedural shock unspecified, sequela","€195,00",Beauty & Fitness,32,2023-11-06,2024-05-12
33,"Vermouth - Sweet, Cinzano",Abrasion of unspecified forearm,"€553,47",Gifts & Special Events,33,2023-05-07,2024-04-07
34,"Shrimp - 21/25, Peel And Deviened","Partial traumatic trnsphal amputation of r mid finger, init","€199,44",vvvv,34,2024-05-10,2023-03-11
35,Wood Chips - Regular,"Superficial frostbite of left ankle, initial encounter","€308,29",Beauty & Fitness,35,2024-01-11,2024-05-10
36,Fondant - Icing,Oth chronic resp diseases origin in the perinatal period,"€616,48",aaaa,36,2023-08-24,2024-05-01
37,Pails With Lids,Partial traumatic amputation of left great toe,,Attractions,37,2024-04-19,2023-07-26
38,"Tomatoes - Vine Ripe, Yellow","Chloasma of right eye, unsp eyelid and periocular area","€878,49",vvvv,38,2023-08-17,2024-01-13
39,Bread Crumbs - Japanese Style,Unsp car occupant injured in collision w hv veh in traf,"€985,41",Food & Drink,39,2023-04-28,2023-02-05
40,Ostrich - Fan Fillet,Malignant neoplasm of olfactory nerve,"€726,06",Arts & Entertainment,40,2023-04-11,2024-02-04
41,Chicken - Soup Base,"Unspecified otosclerosis, bilateral","€324,91",Gifts & Special Events,41,2023-11-20,2024-02-25
42,Energy Drink - Redbull 355ml,Open bite of lower back and pelvis,"€260,83",Food & Drink,42,2023-03-18,2023-08-27
43,Filo Dough,"Unspecified injury of dorsal artery of right foot, sequela",,Beauty & Fitness,43,2023-11-02,2023-07-19
44,"Beef - Cooked, Corned","Matern care for oth or susp poor fetl grth, third tri, fts2","€378,42",vvvv,44,2024-01-17,2023-01-07
45,"Chilli Paste, Sambal Oelek","Contusion of right ring finger w/o damage to nail, init","€901,62",Attractions,45,2024-04-05,2023-05-21
46,"Wine - Magnotta, White","Fracture of unsp phalanx of left little finger, init","€492,06",Attractions,46,2023-05-02,2023-09-20
47,"Yogurt - Blueberry, 175 Gr",Other biomechanical lesions of thoracic region,"€470,05",Beauty & Fitness,47,2023-07-19,2023-02-01
48,"Veal - Leg, Provimi - 50 Lb Max","Open bite, right thigh, subsequent encounter","€778,39",Beauty & Fitness,48,2023-01-04,2023-07-10
49,Energy - Boo - Koo,"Pnctr w/o fb of abd wall, l upr q w penet perit cav, subs","€90,36",Beauty & Fitness,49,2023-05-27,2023-09-18
50,"Stock - Veal, Brown","Effusion, left hand","€92,60",vvvv,50,2024-04-07,2023-03-25
51,Basil - Fresh,"Oth fx of lower end left radius, subs for clos fx w nonunion","€235,18",Arts & Entertainment,51,2023-06-30,2023-08-18
52,Olive - Spread Tapenade,"Nondisp fx of mid 3rd of navic bone of r wrs, 7thP","€981,72",Attractions,52,2023-05-05,2024-05-15
53,"Pepper - Red, Finger Hot","Sltr-haris Type II physl fx upr end rad, r arm, 7thP","€952,33",Beauty & Fitness,53,2024-06-28,2023-03-19
54,"Cake Circle, Foil, Scallop","Insect bite of unsp external genital organs, male, sequela","€795,10",aaaa,54,2023-06-27,2024-05-10
55,Cheese - Cheddar With Claret,"Displacement of int fix of right humerus, subs","€109,66",Food & Drink,55,2024-06-06,2024-05-27
56,Beef - Top Sirloin - Aaa,"Poisoning by stimulant laxatives, undetermined, subs encntr","€679,34",Food & Drink,56,2024-03-09,2024-01-31
57,Appetizer - Mushroom Tart,"Nondisp fx of trapezoid, unsp wrist, subs for fx w malunion","€214,20",Attractions,57,2023-01-22,2023-08-17
58,Shrimp - 100 / 200 Cold Water,"Fall from non-moving motorized mobility scooter, sequela","€508,95",Food & Drink,58,2023-04-16,2023-04-05
59,Chicken - Leg / Back Attach,"Heat exposure on board unspecified watercraft, init encntr","€140,65",Beauty & Fitness,59,2023-08-28,2023-04-08
60,Sage - Ground,"Unsp trochan fx unsp femr, 7thH","€125,44",Gifts & Special Events,60,2023-04-07,2024-05-02
61,Bread - Bistro Sour,"Disp fx of head of l rad, 7thQ","€118,03",vvvv,61,2024-05-05,2023-08-09
62,Energy Drink,"Hordeolum externum unspecified eye, unspecified eyelid","€889,00",Gifts & Special Events,62,2023-08-03,2024-01-04
63,Compound - Rum,"Toxic effect of contact w Portugese Man-o-war, slf-hrm, subs","€200,17",Arts & Entertainment,63,2023-01-30,2023-06-07
64,Bread Base - Italian,"Nondisp commnt fx shaft of ulna, r arm, 7thD","€775,45",Beauty & Fitness,64,2023-07-21,2023-01-12
65,Pate Pans Yellow,"Unspecified contusion of spleen, subsequent encounter","€248,09",Attractions,65,2024-04-14,2023-12-15
66,Potatoes - Idaho 100 Count,"Osteopathy in diseases classified elsewhere, unsp site","€65,25",Beauty & Fitness,66,2023-03-30,2023-05-06
67,Veal - Slab Bacon,"Displ seg fx shaft of rad, unsp arm, 7thG","€189,56",Gifts & Special Events,67,2024-03-17,2023-05-06
68,Amaretto,Other chronic tubulo-interstitial nephritis,"€359,09",Food & Drink,68,2023-08-25,2023-01-30
69,"Wine - Red, Cabernet Merlot","Other fracture of second metacarpal bone, right hand","€503,97",Attractions,69,2024-01-26,2023-08-15
70,"Mushrooms - Black, Dried","Nondisp avulsion fx left ilium, subs for fx w routn heal",,Attractions,70,2024-03-02,2023-01-14
